,ID,trial,TargetPosition,RT,ampWinner,ampAveraging
0,0,0,10,,,
1,1,1,10,,,
2,2,2,10,,,
3,3,3,10,,,
4,4,4,10,,,
5,5,5,10,,,
6,6,6,10,,,
7,7,7,10,,,
8,8,8,10,1146,44,42.48702195360185
9,9,9,10,,,
10,10,10,10,,,
11,11,11,10,1165,50,39.53083196206234
12,12,12,10,,,
13,13,13,10,1062,41,29.685056656666326
14,14,14,10,597,42,32.82408660248154
15,15,15,10,,,
16,16,16,10,,,
17,17,17,10,,,
18,18,18,10,849,47,28.50928629343672
19,19,19,10,,,
20,20,20,10,,,
21,21,21,10,529,48,30.978306345730104
22,22,22,10,,,
23,23,23,10,,,
24,24,24,10,1163,53,42.81330959611517
25,25,25,10,1121,48,44.33041398703865
26,26,26,10,,,
27,27,27,10,1176,48,45.360529068499375
28,28,28,10,,,
29,29,29,10,,,
30,30,30,10,,,
31,31,31,10,,,
32,32,32,10,,,
33,33,33,10,,,
34,34,34,10,1193,46,38.898005675733884
35,35,35,10,,,
36,36,36,10,,,
37,37,37,10,,,
38,38,38,10,485,41,31.017968134935973
39,39,39,10,,,
40,40,40,10,,,
41,41,41,10,,,
42,42,42,10,,,
43,43,43,10,1198,53,46.402526456795705
44,44,44,10,1099,50,34.54411318649565
45,45,45,10,1181,55,49.26677255860131
46,46,46,10,,,
47,47,47,10,1137,47,40.42591275368214
48,48,48,10,,,
49,49,49,10,,,
50,50,50,10,,,
51,51,51,10,1198,54,45.633442438682444
52,52,52,10,,,
53,53,53,10,,,
54,54,54,10,,,
55,55,55,10,1170,50,45.085436159531994
56,56,56,10,1146,42,42.587747612023875
57,57,57,10,1002,41,29.034785475965837
58,58,58,10,1176,47,45.90336635561878
59,59,59,10,1188,50,44.328981328758445
60,60,60,10,616,47,34.33471675111164
61,61,61,10,,,
62,62,62,10,,,
63,63,63,10,,,
64,64,64,10,,,
65,65,65,10,,,
66,66,66,10,,,
67,67,67,10,,,
68,68,68,10,314,50,33.25894006973439
69,69,69,10,,,
70,70,70,10,,,
71,71,71,10,,,
72,72,72,10,,,
73,73,73,10,,,
74,74,74,10,,,
75,75,75,10,,,
76,76,76,10,1168,46,44.488398970823226
77,77,77,10,,,
78,78,78,10,987,44,29.43639245552638
79,79,79,10,,,
80,80,80,10,,,
81,81,81,10,,,
82,82,82,10,,,
83,83,83,10,,,
84,84,84,10,,,
85,85,85,10,,,
86,86,86,10,1165,46,47.62561880672888
87,87,87,10,,,
88,88,88,10,1188,51,49.93045077515827
89,89,89,10,1194,56,43.82880236240823
90,90,90,10,,,
91,91,91,10,,,
92,92,92,10,1163,51,42.1620196678561
93,93,93,10,,,
94,94,94,10,,,
95,95,95,10,,,
96,96,96,10,,,
97,97,97,10,,,
98,98,98,10,1187,51,45.03649744311613
99,99,99,10,,,
100,100,0,20,982,43,30.334409647959028
